          dt                lat     long0S= 0.0902
2018-11-16 00:00:00+00    42.24    -8.73
2018-11-16 01:00:00+00    42.24    -8.73
2018-11-16 02:00:00+00    42.24    -8.73
2018-11-16 03:00:00+00    42.24    -8.73
2018-11-16 04:00:00+00    42.24    -8.73
2018-11-16 05:00:00+00    42.24    -8.73
2018-11-16 06:00:00+00    42.24    -8.73
2018-11-16 07:00:00+00    42.24    -8.73
2018-11-16 08:00:00+00    42.24    -8.73
2018-11-16 09:00:00+00    42.24    -8.73
2018-11-16 10:00:00+00    42.24    -8.73
2018-11-16 11:00:00+00    42.24    -8.73
2018-11-16 12:00:00+00    42.24    -8.73
2018-11-16 13:00:00+00    42.24    -8.73
2018-11-16 14:00:00+00    42.24    -8.73
2018-11-16 15:00:00+00    42.24    -8.73
2018-11-16 16:00:00+00    42.24    -8.73
2018-11-16 17:00:00+00    42.24    -8.73
2018-11-16 18:00:00+00    42.23    -8.77
2018-11-16 19:00:00+00    42.14    -8.93
2018-11-16 20:00:00+00    41.99    -9.04
2018-11-16 21:00:00+00    41.82    -9.13
2018-11-16 22:00:00+00    41.64    -9.23
2018-11-16 23:00:00+00    41.47    -9.32
2018-11-17 00:00:00+00    41.31    -9.41
2018-11-17 01:00:00+00    41.14    -9.50
2018-11-17 02:00:00+00    40.98    -9.59
2018-11-17 03:00:00+00    40.82    -9.68
2018-11-17 04:00:00+00    40.65    -9.76
2018-11-17 05:00:00+00    40.50    -9.87
2018-11-17 06:00:00+00    40.35    -9.95
2018-11-17 07:00:00+00    40.19   -10.02
2018-11-17 08:00:00+00    40.04   -10.09
2018-11-17 09:00:00+00    39.90   -10.17
2018-11-17 10:00:00+00    39.77   -10.24
2018-11-17 11:00:00+00    39.64   -10.30
2018-11-17 12:00:00+00    39.53   -10.36
2018-11-17 13:00:00+00    39.44   -10.42
2018-11-17 14:00:00+00    39.34   -10.46
2018-11-17 15:00:00+00    39.25   -10.51
2018-11-17 16:00:00+00    39.14   -10.57
2018-11-17 17:00:00+00    39.03   -10.62
2018-11-17 18:00:00+00    38.92   -10.69
2018-11-17 19:00:00+00    38.79   -10.75
2018-11-17 20:00:00+00    38.67   -10.82
2018-11-17 21:00:00+00    38.55   -10.88
2018-11-17 22:00:00+00    38.42   -10.94
2018-11-17 23:00:00+00    38.29   -11.01
2018-11-18 00:00:00+00    38.16   -11.08
2018-11-18 01:00:00+00    38.02   -11.15
2018-11-18 02:00:00+00    37.87   -11.23
2018-11-18 03:00:00+00    37.72   -11.31
2018-11-18 04:00:00+00    37.57   -11.38
2018-11-18 05:00:00+00    37.42   -11.46
2018-11-18 06:00:00+00    37.27   -11.54
2018-11-18 07:00:00+00    37.12   -11.62
2018-11-18 08:00:00+00    36.97   -11.70
2018-11-18 09:00:00+00    36.82   -11.77
2018-11-18 10:00:00+00    36.67   -11.85
2018-11-18 11:00:00+00    36.52   -11.93
2018-11-18 12:00:00+00    36.36   -12.00
2018-11-18 13:00:00+00    36.20   -12.07
2018-11-18 14:00:00+00    36.03   -12.15
2018-11-18 15:00:00+00    35.88   -12.25
2018-11-18 16:00:00+00    35.73   -12.34
2018-11-18 17:00:00+00    35.56   -12.39
2018-11-18 18:00:00+00    35.40   -12.47
2018-11-18 19:00:00+00    35.24   -12.56
2018-11-18 20:00:00+00    35.08   -12.64
2018-11-18 21:00:00+00    34.92   -12.72
2018-11-18 22:00:00+00    34.75   -12.80
2018-11-18 23:00:00+00    34.59   -12.88
2018-11-19 00:00:00+00    34.44   -12.97
2018-11-19 01:00:00+00    34.27   -13.04
2018-11-19 02:00:00+00    34.11   -13.11
2018-11-19 03:00:00+00    33.94   -13.17
2018-11-19 04:00:00+00    33.78   -13.26
2018-11-19 05:00:00+00    33.61   -13.34
2018-11-19 06:00:00+00    33.44   -13.43
2018-11-19 07:00:00+00    33.28   -13.53
2018-11-19 08:00:00+00    33.12   -13.60
2018-11-19 09:00:00+00    32.95   -13.69
2018-11-19 10:00:00+00    32.79   -13.76
2018-11-19 11:00:00+00    32.62   -13.84
2018-11-19 12:00:00+00    32.45   -13.92
2018-11-19 13:00:00+00    32.28   -13.99
2018-11-19 14:00:00+00    32.11   -14.08
2018-11-19 15:00:00+00    31.94   -14.18
2018-11-19 16:00:00+00    31.78   -14.28
2018-11-19 17:00:00+00    31.60   -14.35
2018-11-19 18:00:00+00    31.42   -14.42
2018-11-19 19:00:00+00    31.25   -14.49
2018-11-19 20:00:00+00    31.07   -14.58
2018-11-19 21:00:00+00    30.90   -14.67
2018-11-19 22:00:00+00    30.73   -14.76
2018-11-19 23:00:00+00    30.56   -14.84
2018-11-20 00:00:00+00    30.38   -14.92
2018-11-20 01:00:00+00    30.21   -15.01
2018-11-20 02:00:00+00    30.03   -15.09
2018-11-20 03:00:00+00    29.86   -15.17
2018-11-20 04:00:00+00    29.69   -15.25
2018-11-20 05:00:00+00    29.51   -15.33
2018-11-20 06:00:00+00    29.34   -15.42
2018-11-20 07:00:00+00    29.16   -15.50
2018-11-20 08:00:00+00    28.99   -15.58
2018-11-20 09:00:00+00    28.81   -15.66
2018-11-20 10:00:00+00    28.65   -15.75
2018-11-20 11:00:00+00    28.51   -15.88
2018-11-20 12:00:00+00    28.38   -16.02
2018-11-20 13:00:00+00    28.23   -16.15
2018-11-20 14:00:00+00    28.08   -16.29
2018-11-20 15:00:00+00    27.92   -16.39
2018-11-20 16:00:00+00    27.74   -16.48
2018-11-20 17:00:00+00    27.55   -16.55
2018-11-20 18:00:00+00    27.37   -16.63
2018-11-20 19:00:00+00    27.19   -16.71
2018-11-20 20:00:00+00    27.01   -16.79
